Date,Revenue (Millions of US $)
"04/30/25,""165,609"""
"01/31/25,""180,554"""
"10/31/24,""169,588"""
"07/31/24,""169,335"""
"04/30/24,""161,508"""
"01/31/24,""173,388"""
"10/31/23,""160,804"""
"07/31/23,""161,632"""
"04/30/23,""152,301"""
"01/31/23,""164,048"""
"10/31/22,""152,813"""
"07/31/22,""152,859"""
"04/30/22,""141,569"""
"01/31/22,""152,871"""
"10/31/21,""140,525"""
"07/31/21,""141,048"""
"04/30/21,""138,310"""
"01/31/21,""152,079"""
"10/31/20,""134,708"""
"07/31/20,""137,742"""
"04/30/20,""134,622"""
"01/31/20,""141,671"""
"10/31/19,""127,991"""
"07/31/19,""130,377"""
"04/30/19,""123,925"""
"01/31/19,""138,793"""
"10/31/18,""124,894"""
"07/31/18,""128,028"""
"04/30/18,""122,690"""
"01/31/18,""136,267"""
"10/31/17,""123,179"""
"07/31/17,""123,355"""
"04/30/17,""117,542"""
"01/31/17,""130,936"""
"10/31/16,""118,179"""
"07/31/16,""120,854"""
"04/30/16,""115,904"""
"01/31/16,""129,667"""
"10/31/15,""117,408"""
"07/31/15,""120,229"""
"04/30/15,""114,826"""
"01/31/15,""131,565"""
"10/31/14,""119,001"""
"07/31/14,""120,125"""
"04/30/14,""114,960"""
"01/31/14,""129,706"""
"10/31/13,""115,688"""
"07/31/13,""116,830"""
"04/30/13,""114,070"""
"01/31/13,""127,559"""
"10/31/12,""113,800"""
"07/31/12,""114,282"""
"04/30/12,""113,010"""
"01/31/12,""122,728"""
"10/31/11,""110,226"""
"07/31/11,""109,366"""
"04/30/11,""104,189"""
"01/31/11,""116,360"""
"10/31/10,""101,952"""
"07/31/10,""103,726"""
"04/30/10,""99,811"""
"01/31/10,""113,594"""
"10/31/09,""99,373"""
"07/31/09,""100,876"""
"04/30/09,""94,242"""
"01/31/09,""108,627"""
